Location	Team	Qty
[3118602190990]	ACS	1.00
[3118602191229]	ACS	1.00
[3118602190591]	eSB	3.00
[3118602190591]	ACS	6.00
[3118602190567]	eSB	1.00
[3118602190567]	ACS	5.00
[3118602190532]	ACS	1.00
[3118602190494]	eSF	2.00
[3118602190494]	eSB	4.00
[3118602190494]	ACS	14.00
[3118602190869]	eSB	2.00
[3118602190869]	ACS	11.00
[3118602190605]	eSB	1.00
[3118602190109]	eSF	1.00
[3118602190109]	eSB	3.00
[3118602190109]	ACS	12.00
[3118607116306]	eSB	2.00
[3118607116306]	ACS	4.00
[3118602190931]	eSB	2.00
[3118602190931]	ACS	5.00
[3118602190923]	eSB	2.00
[3118602190923]	ACS	1.00
[3118602190893]	eSB	2.00
[3118602190893]	ACS	6.00
[3118602190486]	eSB	1.00
[3118602190486]	ACS	1.00
[3118602190915]	eSB	3.00
[3118602190915]	ACS	9.00
[3118602190222]	eSB	3.00
[3118602190222]	ACS	10.00
[3118604696077]	ACS	3.00
[3118602191024]	eSB	2.00
[3118602191024]	ACS	9.00
[3118602190478]	eSB	2.00
[3118602190478]	ACS	8.00
[3118602190389]	eSB	4.00
[3118602190389]	ACS	12.00
[3118607110316]	eSB	2.00
[3118607110316]	ACS	5.00
[3118602220261]	eSB	2.00
[3118602220261]	ACS	9.00
[3118602190397]	eSB	1.00
[3118602190397]	ACS	3.00
[3118602190176]	eSB	1.00
[3118602190176]	ACS	4.00
[3118602191059]	eSB	1.00
[3118602191059]	ACS	11.00
[3118602191040]	eSB	1.00
[3118602191040]	ACS	5.00
[3118602190451]	eSF	2.00
[3118602190451]	eSB	3.00
[3118602190451]	ACS	10.00
[3118602190206]	eSF	2.00
[3118602190206]	eSB	2.00
[3118602190206]	ACS	13.00
[3118602190966]	eSB	1.00
[3118602190966]	ACS	4.00
[3118602190400]	eSB	2.00
[3118602190400]	ACS	6.00
[3118602190877]	eSB	1.00
[3118602190877]	ACS	6.00
[3118602190826]	eSB	1.00
[3118602190826]	ACS	2.00
[3118602190729]	eSB	1.00
[3118602190834]	eSB	1.00
[3118602190834]	ACS	8.00
[3118602190710]	eSB	1.00
[3118602190796]	eSB	1.00
[3118602190796]	ACS	7.00
[3118602190648]	eSB	1.00
[3118602190648]	ACS	2.00
[3118602190818]	eSB	2.00
[3118602190818]	ACS	3.00
[3118602190885]	eSB	3.00
[3118602190885]	ACS	9.00
[3118607053355]	eSF	3.00
[3118607053355]	eSB	4.00
[3118607053355]	ACS	14.00
[3118602190192]	eSB	1.00
[3118602190192]	ACS	6.00
[3118602190214]	eSB	1.00
[3118602190214]	ACS	6.00
[3118602190680]	eSB	1.00
[3118602190680]	ACS	8.00
[3118602190753]	eSB	2.00
[3118602190753]	ACS	11.00
[3118602190141]	eSB	1.00
[3118602190141]	ACS	5.00
[3118602220245]	eSB	3.00
[3118602220245]	ACS	11.00
[3118602190788]	eSB	1.00
[3118602190788]	ACS	6.00
[CLU_2943]*	eSB	1.00
[CLU_2943]*	ACS	4.00
[CLU_2961]*	ACS	2.00
[CLU_2970]*	eSB	1.00
[CLU_2970]*	ACS	2.00
[CLU_2971]*	ACS	4.00
[CLU_3051]*	ACS	3.00
[CLU_3055]*	eSB	1.00
[CLU_3055]*	ACS	4.00
[CLU_3060]*	ACS	3.00
[CLU_3084]*	eSB	1.00
[CLU_3084]*	ACS	4.00
[CLU_3086]*	ACS	3.00
[CLU_3087]*	eSB	1.00
[CLU_3087]*	ACS	3.00
[CLU_3098]*	eSB	1.00
[CLU_3098]*	ACS	3.00
[CLU_3108]*	eSB	1.00
[CLU_3108]*	ACS	3.00
[CLU_3121]*	ACS	4.00
[CLU_3128]*	ACS	4.00
[CLU_3141]*	ACS	4.00
[CLU_3143]*	ACS	4.00
[CLU_3160]*	ACS	4.00
[CLU_3166]*	eSB	1.00
[CLU_3166]*	ACS	4.00
[CLU_3176]*	eSB	1.00
[CLU_3176]*	ACS	4.00
[CLU_3200]*	eSB	1.00
[CLU_3200]*	ACS	4.00
[CLU_3214]*	eSB	1.00
[CLU_3214]*	ACS	4.00
[CLU_7923]*	ACS	2.00
